
metadata
ID,name,desc,time,keywords,minlat,minlon,maxlat,maxlon,
1,,,2022-08-18T14:43:33Z,,25.061799958348274,121.640300033614039,50.901700034737587,-1.489399988204241,

author
ID,name,email,

copyright
year,license,author,

link
metadataID,authorID,wptID,rteptID,trkptID,rteID,trkID,text,type,href,
1,,,,,,,"Garmin International",,http://www.garmin.com,
,,29,,,,,,,/Users/mayachari/Library/Caches/com.garmin.BaseCamp/DeviceCache/3356713724/LinkedPhotos/Garmin_Asia.jpg,
,,30,,,,,,,/Users/mayachari/Library/Caches/com.garmin.BaseCamp/DeviceCache/3356713724/LinkedPhotos/Garmin_Europe.jpg,
,,31,,,,,,,/Users/mayachari/Library/Caches/com.garmin.BaseCamp/DeviceCache/3356713724/LinkedPhotos/Garmin_USA.jpg,

rte
ID,name,cmt,desc,src,number,type,IsAutoNamed,DisplayColor,TransportationMode,TripName,Date,DayNumber,

rtept
ID,rteID,lat,lon,ele,time,magvar,geoidheight,name,cmt,desc,src,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,DepartureTime,StopDuration,ArrivalTime,CalculationMode,ElevationMode,NamedRoad_Name,NamedRoad_Id,NamedRoad_ProductId,TransportationMode,

wpt
ID,lat,lon,ele,time,magvar,geoidheight,name,cmt,desc,src,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,Proximity,Temperature,Depth,DisplayMode,Samples,Expiration,CreationTime,
21,44.338167021051049,-68.053901977837086,8.927904,2021-08-23T15:39:57Z,,,"BM Q XS","2021-08-23T15:39","2021-08-23T15:39",,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2021-08-23T15:39:57Z,
22,44.916613977402449,-67.079041041433811,2.063463,2022-07-21T15:14:35Z,,,"BPT1 00","2022-07-21T15:14","2022-07-21T15:14",,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2022-07-21T15:14:35Z,
23,44.916327986866236,-67.078937022015452,-12.363541,2022-07-21T13:41:36Z,,,"BPT1 30","2022-07-21T13:41","2022-07-21T13:41",,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2022-07-21T13:41:36Z,
24,44.916309965774417,-67.079238016158342,1.622028,2022-07-21T15:17:06Z,,,"BPT3 00","2022-07-21T15:17","2022-07-21T15:17",,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2022-07-21T15:17:06Z,
25,44.916141992434859,-67.079553008079529,2.666916,2022-07-21T15:26:05Z,,,"BPT3 30","2022-07-21T15:26","2022-07-21T15:26",,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2022-07-21T15:26:05Z,
26,44.569766968488693,-68.114900020882487,,2021-09-20T20:20:14Z,,,"Coordinates","2021-09-20T20:20","2021-09-20T20:20",,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2021-09-20T20:20:14Z,
27,44.375717025250196,-68.076155008748174,-1.250494,2022-08-09T17:16:16Z,,,"FPT1 00","2022-08-09T17:16","2022-08-09T17:16",,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2022-08-09T17:16:16Z,
28,44.375288961455226,-68.076313007622957,0.876478,2022-08-09T17:19:19Z,,,"FPT1 30","2022-08-09T17:19","2022-08-09T17:19",,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2022-08-09T17:19:19Z,
29,25.061799958348274,121.640300033614039,38.100000000000001,2022-08-18T14:43:11Z,,,"Garmin Asia",,,,"Building","user",,,,,,,,,,,SymbolAndName,,,2022-08-18T14:43:11Z,
30,50.901700034737587,-1.489399988204241,35.9664,2022-08-18T14:43:11Z,,,"Garmin Europe",,,,"Building","user",,,,,,,,,,,SymbolAndName,,,2022-08-18T14:43:11Z,
31,38.855600031092763,-94.798999987542629,324.916800000000023,2022-08-18T14:43:11Z,,,"Garmin USA",,,,"Building","user",,,,,,,,,,,SymbolAndName,,,2022-08-18T14:43:11Z,
32,44.4910560362041,-68.200425021350384,-68.733536000000001,2022-07-24T17:22:59Z,,,"IIT1 00","2022-07-24T17:22","2022-07-24T17:22",,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2022-07-24T17:22:59Z,
